"Story","Title","Result","Date","Stability","Duration (s)"
"Se requiere validar la automatizacion de una de las apis Get pet","Se realiza la prueba exitosa al api get pet","SUCCESS","2023-09-16T14:50:20.5684795-05:00[America/Bogota]","0.0","3.86"
"Se requiere validar la automatizacion de una de las apis post pet","Se realiza la prueba exitosa al api post pet","SUCCESS","2023-09-16T14:50:24.4328314-05:00[America/Bogota]","0.0","0.5"
"Se requiere validar la automatizacion de una de las apis Get store","Se realiza la prueba exitosa al api get store","SUCCESS","2023-09-16T14:50:24.9356728-05:00[America/Bogota]","0.0","0.43"
"Se requiere validar la automatizacion de dos apis post store","Se realiza la prueba exitosa al api post store","SUCCESS","2023-09-16T14:50:25.3611495-05:00[America/Bogota]","0.0","0.44"
